time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2022-05-01 00:00:00,2.0,0.0,0.0,15.5,301,100,0.0,78
2022-05-01 01:00:00,2.0,0.0,0.0,15.2,301,99,0.0,94
2022-05-01 02:00:00,1.9,0.0,0.0,14.6,303,98,0.0,84
2022-05-01 03:00:00,2.2,0.0,0.0,14.1,302,93,0.0,54
2022-05-01 04:00:00,2.4,0.0,0.0,13.6,302,94,0.0,63
2022-05-01 05:00:00,2.5,0.0,0.0,13.0,304,95,0.0,90
2022-05-01 06:00:00,2.6,0.0,0.0,11.7,304,95,0.0,55
2022-05-01 07:00:00,2.9,0.0,0.0,10.5,308,93,1.0,62
2022-05-01 08:00:00,5.5,0.0,0.0,9.1,304,82,92.0,27
2022-05-01 09:00:00,7.9,0.0,0.0,6.9,298,69,277.0,93
2022-05-01 10:00:00,9.2,0.0,0.0,6.3,294,66,428.0,97
2022-05-01 11:00:00,10.4,0.0,0.0,8.2,285,65,549.0,44
2022-05-01 12:00:00,10.8,0.0,0.0,9.3,286,65,626.0,53
2022-05-01 13:00:00,11.1,0.0,0.0,9.8,294,65,613.0,89
2022-05-01 14:00:00,10.8,0.0,0.0,10.3,295,66,533.0,54
2022-05-01 15:00:00,10.3,0.0,0.0,9.7,301,66,434.0,2
2022-05-01 16:00:00,9.5,0.0,0.0,9.1,304,69,296.0,18
2022-05-01 17:00:00,7.6,0.0,0.0,7.1,311,79,118.0,6
2022-05-01 18:00:00,5.2,0.0,0.0,9.1,326,91,4.0,5
2022-05-01 19:00:00,4.5,0.0,0.0,8.2,331,92,0.0,0
2022-05-01 20:00:00,4.6,0.0,0.0,6.6,331,85,0.0,6
2022-05-01 21:00:00,4.4,0.0,0.0,5.5,337,81,0.0,5
2022-05-01 22:00:00,3.2,0.0,0.0,7.6,335,89,0.0,4
2022-05-01 23:00:00,3.4,0.0,0.0,7.4,337,85,0.0,30
2022-05-02 00:00:00,3.2,0.0,0.0,6.7,344,83,0.0,18
2022-05-02 01:00:00,3.3,0.0,0.0,5.9,346,81,0.0,2
2022-05-02 02:00:00,3.5,0.0,0.0,4.8,347,81,0.0,0
2022-05-02 03:00:00,3.6,0.0,0.0,4.1,345,80,0.0,0
2022-05-02 04:00:00,3.6,0.0,0.0,4.2,340,77,0.0,0
2022-05-02 05:00:00,3.4,0.0,0.0,4.2,340,75,0.0,2
2022-05-02 06:00:00,3.2,0.0,0.0,4.2,340,74,0.0,6
2022-05-02 07:00:00,3.3,0.0,0.0,3.4,342,72,1.0,4
2022-05-02 08:00:00,6.2,0.0,0.0,3.8,343,68,99.0,7
2022-05-02 09:00:00,10.4,0.0,0.0,3.4,342,53,287.0,8
2022-05-02 10:00:00,11.7,0.0,0.0,5.4,318,50,453.0,21
2022-05-02 11:00:00,12.8,0.0,0.0,7.2,297,44,572.0,51
2022-05-02 12:00:00,13.1,0.0,0.0,8.6,303,40,631.0,60
2022-05-02 13:00:00,13.3,0.0,0.0,8.9,310,36,632.0,49
2022-05-02 14:00:00,13.2,0.0,0.0,9.2,315,36,579.0,41
2022-05-02 15:00:00,12.7,0.0,0.0,7.7,319,38,466.0,24
2022-05-02 16:00:00,11.5,0.0,0.0,6.4,313,45,304.0,5
2022-05-02 17:00:00,8.7,0.0,0.0,4.3,312,64,119.0,0
2022-05-02 18:00:00,6.7,0.0,0.0,6.9,332,69,4.0,3
2022-05-02 19:00:00,5.3,0.0,0.0,7.4,346,70,0.0,0
2022-05-02 20:00:00,5.9,0.0,0.0,6.9,351,62,0.0,6
2022-05-02 21:00:00,6.5,0.0,0.0,5.9,349,57,0.0,0
2022-05-02 22:00:00,4.6,0.0,0.0,5.9,349,68,0.0,0
2022-05-02 23:00:00,5.8,0.0,0.0,6.0,343,62,0.0,1
2022-05-03 00:00:00,5.1,0.0,0.0,7.0,339,63,0.0,0
2022-05-03 01:00:00,4.6,0.0,0.0,9.0,337,63,0.0,0
2022-05-03 02:00:00,4.3,0.0,0.0,10.0,334,63,0.0,0
2022-05-03 03:00:00,4.5,0.0,0.0,11.3,329,60,0.0,0
2022-05-03 04:00:00,5.4,0.0,0.0,13.0,326,58,0.0,0
2022-05-03 05:00:00,6.1,0.0,0.0,14.4,323,61,0.0,0
2022-05-03 06:00:00,6.1,0.0,0.0,14.8,321,64,0.0,0
2022-05-03 07:00:00,6.0,0.0,0.0,15.6,320,66,1.0,0
2022-05-03 08:00:00,8.1,0.0,0.0,15.5,316,60,101.0,0
2022-05-03 09:00:00,10.1,0.0,0.0,15.6,310,54,290.0,0
2022-05-03 10:00:00,10.2,0.0,0.0,16.6,309,60,459.0,0
2022-05-03 11:00:00,10.9,0.0,0.0,15.6,310,60,555.0,20
2022-05-03 12:00:00,11.2,0.0,0.0,15.0,312,59,603.0,19
2022-05-03 13:00:00,11.3,0.0,0.0,15.3,315,62,599.0,42
2022-05-03 14:00:00,11.3,0.0,0.0,15.0,316,61,520.0,26
2022-05-03 15:00:00,11.2,0.0,0.0,14.0,316,58,450.0,4
2022-05-03 16:00:00,10.1,0.0,0.0,12.5,316,62,302.0,4
2022-05-03 17:00:00,7.7,0.0,0.0,12.2,317,75,117.0,1
2022-05-03 18:00:00,5.9,0.0,0.0,15.0,316,76,4.0,0
2022-05-03 19:00:00,6.7,0.0,0.0,16.1,312,64,0.0,0
2022-05-03 20:00:00,7.1,0.0,0.0,17.1,314,66,0.0,0
2022-05-03 21:00:00,7.1,0.0,0.0,17.6,314,65,0.0,1
2022-05-03 22:00:00,8.0,0.0,0.0,17.6,316,63,0.0,1
2022-05-03 23:00:00,7.1,0.0,0.0,17.6,317,74,0.0,0
2022-05-04 00:00:00,6.9,0.0,0.0,19.4,313,85,0.0,42
2022-05-04 01:00:00,7.0,0.0,0.0,21.7,312,85,0.0,77
2022-05-04 02:00:00,7.0,0.0,0.0,23.0,310,86,0.0,84
2022-05-04 03:00:00,7.2,0.0,0.0,23.1,307,92,0.0,88
2022-05-04 04:00:00,7.0,0.0,0.0,22.2,306,96,0.0,100
2022-05-04 05:00:00,6.8,0.0,0.0,20.7,305,96,0.0,91
2022-05-04 06:00:00,6.6,0.0,0.0,20.0,304,95,0.0,89
2022-05-04 07:00:00,6.4,0.0,0.0,19.4,305,95,1.0,45
2022-05-04 08:00:00,8.1,0.0,0.0,20.4,306,85,82.0,68
2022-05-04 09:00:00,9.4,0.0,0.0,20.3,303,81,227.0,84
2022-05-04 10:00:00,10.2,0.0,0.0,19.4,312,82,358.0,55
2022-05-04 11:00:00,11.0,0.0,0.0,19.2,308,78,454.0,82
2022-05-04 12:00:00,10.7,0.0,0.1,18.0,307,82,448.0,100
2022-05-04 13:00:00,10.1,0.0,0.3,16.3,305,86,373.0,97
2022-05-04 14:00:00,10.0,0.0,0.2,14.9,307,86,391.0,92
2022-05-04 15:00:00,9.6,0.0,0.2,15.6,310,89,350.0,100
2022-05-04 16:00:00,8.4,0.0,0.1,12.5,309,93,93.0,99
2022-05-04 17:00:00,7.6,0.0,0.1,12.5,311,98,55.0,100
2022-05-04 18:00:00,7.1,0.0,0.1,11.2,303,99,2.0,100
2022-05-04 19:00:00,7.0,0.0,0.1,10.2,309,99,0.0,100
2022-05-04 20:00:00,7.2,0.0,0.1,7.7,319,99,0.0,100
2022-05-04 21:00:00,7.0,0.0,0.3,7.6,315,99,0.0,100
2022-05-04 22:00:00,4.9,0.0,0.1,5.2,326,100,0.0,94
2022-05-04 23:00:00,4.2,0.0,0.0,6.4,333,100,0.0,47
2022-05-05 00:00:00,4.0,0.0,0.0,6.6,338,100,0.0,63
2022-05-05 01:00:00,3.9,0.0,0.0,6.7,324,100,0.0,58
2022-05-05 02:00:00,3.6,0.0,0.0,6.5,326,100,0.0,92
2022-05-05 03:00:00,3.4,0.0,0.1,7.0,325,100,0.0,100
2022-05-05 04:00:00,4.0,0.0,0.7,7.4,321,100,0.0,85
2022-05-05 05:00:00,3.2,0.0,0.1,5.5,328,100,0.0,100
2022-05-05 06:00:00,4.0,0.0,0.1,5.0,339,100,0.0,91
2022-05-05 07:00:00,2.3,0.0,0.2,3.6,354,100,0.0,100
2022-05-05 08:00:00,4.1,0.07,0.6,6.1,320,94,38.0,92
2022-05-05 09:00:00,4.6,0.0,0.2,8.9,310,91,163.0,100
2022-05-05 10:00:00,5.2,0.0,0.2,8.6,303,72,223.0,30
2022-05-05 11:00:00,6.2,0.0,0.0,8.9,317,63,427.0,26
2022-05-05 12:00:00,6.6,0.0,0.0,10.2,315,57,546.0,27
2022-05-05 13:00:00,6.6,0.0,0.0,12.0,316,58,546.0,38
2022-05-05 14:00:00,6.5,0.0,0.0,11.2,318,56,500.0,38
2022-05-05 15:00:00,6.1,0.0,0.0,10.5,311,56,398.0,31
2022-05-05 16:00:00,4.7,0.0,0.0,11.1,306,64,255.0,30
2022-05-05 17:00:00,3.1,0.0,0.0,9.7,312,76,96.0,26
2022-05-05 18:00:00,1.1,0.0,0.0,10.9,304,94,2.0,25
2022-05-05 19:00:00,0.4,0.0,0.0,10.7,312,98,0.0,23
2022-05-05 20:00:00,-0.1,0.0,0.0,10.7,303,99,0.0,26
2022-05-05 21:00:00,-0.5,0.0,0.0,12.1,307,100,0.0,100
2022-05-05 22:00:00,-0.4,0.0,0.0,12.5,311,98,0.0,100
2022-05-05 23:00:00,-1.2,0.0,0.0,12.2,313,99,0.0,60
2022-05-06 00:00:00,-1.6,0.0,0.0,11.3,307,99,0.0,65
2022-05-06 01:00:00,-1.8,0.0,0.0,13.8,303,99,0.0,100
2022-05-06 02:00:00,-1.4,0.0,0.0,16.9,299,99,0.0,100
2022-05-06 03:00:00,-1.4,0.0,0.0,18.7,298,99,0.0,100
2022-05-06 04:00:00,-1.5,0.0,0.0,18.0,299,98,0.0,100
2022-05-06 05:00:00,-1.6,0.0,0.0,16.4,303,97,0.0,60
2022-05-06 06:00:00,-2.1,0.0,0.0,16.3,305,96,0.0,51
2022-05-06 07:00:00,-2.0,0.0,0.0,16.4,303,96,0.0,44
2022-05-06 08:00:00,-0.8,0.0,0.0,19.6,302,94,84.0,96
2022-05-06 09:00:00,0.6,0.0,0.0,19.2,304,86,220.0,64
2022-05-06 10:00:00,1.1,0.0,0.0,19.2,310,79,396.0,84
2022-05-06 11:00:00,1.9,0.0,0.0,18.4,310,75,435.0,78
2022-05-06 12:00:00,2.6,0.0,0.0,18.4,310,72,526.0,84
2022-05-06 13:00:00,2.5,0.07,0.1,18.6,314,73,511.0,92
2022-05-06 14:00:00,2.3,0.07,0.1,19.6,311,73,449.0,69
2022-05-06 15:00:00,1.5,0.07,0.1,20.9,314,79,357.0,83
2022-05-06 16:00:00,0.7,0.07,0.1,19.4,313,88,202.0,100
2022-05-06 17:00:00,-0.4,0.07,0.1,18.2,308,99,65.0,100
2022-05-06 18:00:00,-0.5,0.21,0.3,19.9,305,98,1.0,100
2022-05-06 19:00:00,-0.5,0.28,0.4,22.0,305,98,0.0,100
2022-05-06 20:00:00,-0.6,0.14,0.2,25.9,308,97,0.0,100
2022-05-06 21:00:00,-0.8,0.07,0.1,27.5,307,99,0.0,100
2022-05-06 22:00:00,-0.6,0.07,0.1,28.3,304,100,0.0,100
2022-05-06 23:00:00,-0.6,0.14,0.2,30.2,306,99,0.0,100
2022-05-07 00:00:00,-0.8,0.07,0.1,33.6,305,99,0.0,100
2022-05-07 01:00:00,-1.2,0.0,0.0,30.0,305,100,0.0,100
2022-05-07 02:00:00,-1.5,0.0,0.0,28.8,304,99,0.0,100
2022-05-07 03:00:00,-1.7,0.0,0.0,28.7,305,99,0.0,100
2022-05-07 04:00:00,-1.7,0.0,0.0,31.0,303,99,0.0,100
2022-05-07 05:00:00,-1.1,0.0,0.0,36.9,297,98,0.0,100
2022-05-07 06:00:00,-1.0,0.0,0.0,29.8,302,97,0.0,96
2022-05-07 07:00:00,-1.1,0.0,0.0,32.4,300,98,0.0,100
2022-05-07 08:00:00,-0.4,0.0,0.0,30.8,297,99,22.0,100
2022-05-07 09:00:00,0.3,0.0,0.0,31.1,298,99,106.0,100
2022-05-07 10:00:00,0.4,0.14,0.2,35.0,299,99,147.0,100
2022-05-07 11:00:00,1.0,0.07,0.1,34.9,301,100,181.0,100
2022-05-07 12:00:00,1.0,0.0,0.0,35.9,301,98,259.0,100
2022-05-07 13:00:00,1.3,0.07,0.1,35.8,302,97,265.0,100
2022-05-07 14:00:00,1.5,0.0,0.0,33.7,304,95,230.0,100
2022-05-07 15:00:00,1.8,0.0,0.0,32.3,303,94,261.0,94
2022-05-07 16:00:00,1.1,0.0,0.0,27.3,304,99,179.0,100
2022-05-07 17:00:00,0.7,0.0,0.0,26.9,300,100,57.0,100
2022-05-07 18:00:00,0.7,0.07,0.1,32.7,300,100,1.0,100
2022-05-07 19:00:00,0.7,0.07,0.1,30.1,299,100,0.0,100
2022-05-07 20:00:00,0.7,0.0,0.0,28.4,303,99,0.0,100
2022-05-07 21:00:00,1.0,0.28,0.4,30.7,301,98,0.0,100
2022-05-07 22:00:00,1.0,0.28,0.4,32.2,298,100,0.0,100
2022-05-07 23:00:00,1.1,0.14,0.2,31.6,296,100,0.0,100
2022-05-08 00:00:00,1.3,0.14,0.2,29.5,297,100,0.0,100
2022-05-08 01:00:00,1.3,0.14,0.3,26.3,295,100,0.0,100
2022-05-08 02:00:00,1.4,0.07,0.1,23.5,293,100,0.0,100
2022-05-08 03:00:00,1.4,0.07,0.1,21.1,293,100,0.0,100
2022-05-08 04:00:00,1.3,0.07,0.1,18.7,293,100,0.0,100
2022-05-08 05:00:00,1.5,0.0,0.0,16.8,293,100,0.0,100
2022-05-08 06:00:00,1.6,0.0,0.0,14.5,293,100,0.0,100
2022-05-08 07:00:00,1.5,0.0,0.0,12.1,293,100,0.0,100
2022-05-08 08:00:00,2.2,0.0,0.0,11.0,293,100,32.0,100
2022-05-08 09:00:00,2.6,0.0,0.0,9.9,289,100,72.0,100
2022-05-08 10:00:00,3.7,0.0,0.0,10.9,279,96,141.0,100
2022-05-08 11:00:00,5.1,0.0,0.0,10.0,285,88,427.0,76
2022-05-08 12:00:00,5.8,0.0,0.0,10.9,279,82,428.0,55
2022-05-08 13:00:00,6.3,0.0,0.0,10.2,280,77,487.0,99
2022-05-08 14:00:00,6.3,0.0,0.0,8.9,284,76,412.0,51
2022-05-08 15:00:00,6.2,0.0,0.0,7.4,284,76,334.0,40
2022-05-08 16:00:00,5.5,0.0,0.0,6.8,270,81,226.0,73
2022-05-08 17:00:00,3.4,0.0,0.0,4.9,287,94,85.0,30
2022-05-08 18:00:00,1.5,0.0,0.0,2.1,329,100,1.0,100
2022-05-08 19:00:00,1.1,0.0,0.0,1.1,342,100,0.0,100
2022-05-08 20:00:00,2.8,0.0,0.0,2.8,50,97,0.0,100
2022-05-08 21:00:00,3.0,0.0,0.0,4.7,67,100,0.0,100
2022-05-08 22:00:00,3.7,0.0,0.1,3.6,90,100,0.0,100
2022-05-08 23:00:00,3.8,0.0,0.0,2.6,56,100,0.0,100
2022-05-09 00:00:00,3.9,0.0,0.0,3.0,14,99,0.0,100
2022-05-09 01:00:00,3.5,0.0,0.0,3.9,34,98,0.0,100
2022-05-09 02:00:00,3.0,0.0,0.0,5.2,16,97,0.0,89
2022-05-09 03:00:00,2.1,0.0,0.0,6.0,17,95,0.0,53
2022-05-09 04:00:00,1.0,0.0,0.0,6.7,16,97,0.0,56
2022-05-09 05:00:00,1.1,0.0,0.0,6.2,10,95,0.0,65
2022-05-09 06:00:00,0.7,0.0,0.0,5.8,360,95,0.0,40
2022-05-09 07:00:00,0.1,0.0,0.0,5.2,348,95,0.0,1
2022-05-09 08:00:00,2.8,0.0,0.0,4.1,345,87,76.0,0
2022-05-09 09:00:00,6.7,0.0,0.0,3.1,306,71,259.0,0
2022-05-09 10:00:00,7.6,0.0,0.0,4.7,302,72,424.0,0
2022-05-09 11:00:00,9.3,0.0,0.0,7.1,315,64,543.0,27
2022-05-09 12:00:00,10.3,0.0,0.0,6.4,317,58,583.0,44
2022-05-09 13:00:00,10.7,0.0,0.0,4.5,299,56,512.0,63
2022-05-09 14:00:00,9.9,0.0,0.0,3.4,252,63,412.0,57
2022-05-09 15:00:00,8.9,0.0,0.0,0.8,63,69,292.0,100
2022-05-09 16:00:00,7.7,0.0,0.0,4.1,75,79,100.0,95
2022-05-09 17:00:00,6.6,0.0,0.0,3.4,72,90,59.0,96
2022-05-09 18:00:00,5.6,0.0,0.0,3.9,22,96,1.0,89
2022-05-09 19:00:00,4.7,0.0,0.0,4.3,5,99,0.0,100
2022-05-09 20:00:00,4.9,0.0,0.0,4.7,9,99,0.0,100
2022-05-09 21:00:00,4.6,0.0,0.0,5.1,8,98,0.0,95
2022-05-09 22:00:00,2.2,0.0,0.0,4.0,5,98,0.0,75
2022-05-09 23:00:00,3.7,0.0,0.0,4.7,9,89,0.0,0
2022-05-10 00:00:00,4.3,0.0,0.0,5.9,11,83,0.0,0
2022-05-10 01:00:00,4.0,0.0,0.0,7.9,16,85,0.0,0
2022-05-10 02:00:00,3.6,0.0,0.0,8.9,14,89,0.0,1
2022-05-10 03:00:00,3.4,0.0,0.0,10.2,18,94,0.0,1
2022-05-10 04:00:00,3.3,0.0,0.0,10.7,20,96,0.0,36
2022-05-10 05:00:00,3.6,0.0,0.0,11.2,21,97,0.0,71
2022-05-10 06:00:00,4.1,0.0,0.0,11.8,23,96,0.0,100
2022-05-10 07:00:00,5.1,0.0,0.0,12.6,24,95,0.0,100
2022-05-10 08:00:00,6.2,0.0,0.0,13.7,23,93,43.0,100
2022-05-10 09:00:00,7.5,0.0,0.0,11.4,24,90,147.0,100
2022-05-10 10:00:00,8.2,0.0,0.0,12.6,31,91,272.0,81
2022-05-10 11:00:00,9.0,0.0,0.0,12.5,39,87,285.0,100
2022-05-10 12:00:00,10.4,0.0,0.0,11.8,38,77,489.0,25
2022-05-10 13:00:00,10.7,0.0,0.2,13.2,47,77,531.0,94
2022-05-10 14:00:00,10.8,0.0,0.0,13.2,55,75,466.0,100
2022-05-10 15:00:00,9.6,0.0,0.0,12.9,60,79,254.0,98
2022-05-10 16:00:00,9.1,0.0,0.0,13.4,70,84,200.0,100
2022-05-10 17:00:00,7.4,0.0,0.0,12.2,76,98,70.0,100
2022-05-10 18:00:00,6.9,0.0,0.0,13.3,71,99,1.0,100
2022-05-10 19:00:00,6.4,0.0,0.0,14.5,63,99,0.0,100
2022-05-10 20:00:00,6.5,0.0,0.0,15.9,57,99,0.0,100
2022-05-10 21:00:00,6.1,0.0,0.0,14.6,52,99,0.0,100
2022-05-10 22:00:00,6.4,0.0,0.0,13.8,49,98,0.0,100
2022-05-10 23:00:00,6.3,0.0,0.0,13.5,46,98,0.0,100
2022-05-11 00:00:00,6.3,0.0,0.0,14.3,51,98,0.0,100
2022-05-11 01:00:00,6.3,0.0,0.0,14.8,51,96,0.0,100
2022-05-11 02:00:00,6.0,0.0,0.0,14.3,49,96,0.0,100
2022-05-11 03:00:00,6.1,0.0,0.0,13.0,48,98,0.0,100
2022-05-11 04:00:00,5.8,0.0,0.0,11.7,45,96,0.0,100
2022-05-11 05:00:00,5.3,0.0,0.0,11.7,43,97,0.0,100
2022-05-11 06:00:00,5.1,0.0,0.0,12.1,37,97,0.0,100
2022-05-11 07:00:00,5.4,0.0,0.0,10.9,34,94,0.0,100
2022-05-11 08:00:00,6.0,0.0,0.0,10.9,27,89,24.0,100
2022-05-11 09:00:00,7.6,0.0,0.0,9.2,26,77,98.0,100
2022-05-11 10:00:00,8.3,0.0,0.0,12.2,43,93,234.0,100
2022-05-11 11:00:00,8.3,0.0,0.0,12.3,40,95,142.0,100
2022-05-11 12:00:00,8.5,0.0,0.0,12.2,45,91,171.0,100
2022-05-11 13:00:00,8.7,0.0,0.0,10.2,51,81,177.0,100
2022-05-11 14:00:00,9.1,0.0,0.0,12.0,57,83,198.0,100
2022-05-11 15:00:00,9.2,0.0,0.0,15.1,62,83,176.0,100
2022-05-11 16:00:00,8.4,0.0,0.0,14.5,63,90,110.0,100
2022-05-11 17:00:00,7.4,0.0,0.0,11.0,67,99,31.0,100
2022-05-11 18:00:00,7.1,0.0,0.0,11.3,59,99,0.0,100
2022-05-11 19:00:00,6.9,0.0,0.1,11.2,48,99,0.0,100
2022-05-11 20:00:00,7.1,0.0,0.2,10.6,35,96,0.0,100
2022-05-11 21:00:00,6.4,0.0,1.0,5.8,30,100,0.0,100
2022-05-11 22:00:00,7.4,0.0,0.5,7.9,51,87,0.0,100
2022-05-11 23:00:00,6.9,0.0,0.1,12.1,80,97,0.0,100
2022-05-12 00:00:00,7.1,0.0,0.2,13.5,81,99,0.0,100
2022-05-12 01:00:00,7.1,0.0,0.5,10.2,72,100,0.0,100
2022-05-12 02:00:00,7.3,0.0,0.7,10.2,48,100,0.0,100
2022-05-12 03:00:00,7.5,0.0,1.8,10.2,51,100,0.0,100
2022-05-12 04:00:00,7.6,0.0,1.5,8.1,45,100,0.0,100
2022-05-12 05:00:00,7.6,0.0,0.8,6.9,39,100,0.0,100
2022-05-12 06:00:00,7.5,0.0,0.4,5.8,30,100,0.0,100
2022-05-12 07:00:00,7.4,0.0,0.3,5.6,27,100,0.0,100
2022-05-12 08:00:00,7.9,0.0,0.2,6.8,25,100,10.0,100
2022-05-12 09:00:00,9.0,0.0,0.0,9.8,28,96,43.0,100
2022-05-12 10:00:00,9.0,0.0,0.1,11.3,27,100,115.0,100
2022-05-12 11:00:00,10.2,0.0,0.4,12.9,30,94,129.0,100
2022-05-12 12:00:00,10.7,0.0,0.3,13.9,31,94,178.0,100
2022-05-12 13:00:00,10.1,0.0,0.8,12.9,30,100,111.0,100
2022-05-12 14:00:00,10.7,0.0,0.9,10.5,27,100,126.0,100
2022-05-12 15:00:00,10.6,0.0,0.9,9.3,28,100,85.0,100
2022-05-12 16:00:00,10.2,0.0,0.7,8.3,360,100,37.0,100
2022-05-12 17:00:00,9.7,0.0,0.6,7.3,351,100,20.0,100
2022-05-12 18:00:00,9.7,0.0,1.8,7.8,347,100,0.0,100
2022-05-12 19:00:00,9.8,0.0,0.5,7.3,327,100,0.0,100
2022-05-12 20:00:00,9.5,0.0,0.6,5.9,322,100,0.0,100
2022-05-12 21:00:00,9.6,0.0,0.8,6.4,308,100,0.0,100
2022-05-12 22:00:00,9.8,0.0,0.6,12.2,315,100,0.0,100
2022-05-12 23:00:00,9.9,0.0,0.2,11.2,312,100,0.0,100
2022-05-13 00:00:00,10.0,0.0,0.1,12.5,311,100,0.0,100
2022-05-13 01:00:00,9.9,0.0,0.2,11.1,306,100,0.0,100
2022-05-13 02:00:00,9.9,0.0,0.1,12.5,309,100,0.0,100
2022-05-13 03:00:00,9.9,0.0,0.1,10.2,309,100,0.0,100
2022-05-13 04:00:00,9.6,0.0,3.6,6.4,313,100,0.0,100
2022-05-13 05:00:00,9.5,0.0,0.6,8.8,325,100,0.0,100
2022-05-13 06:00:00,9.7,0.0,0.0,8.9,317,100,0.0,100
2022-05-13 07:00:00,9.7,0.0,0.0,8.3,326,100,0.0,100
2022-05-13 08:00:00,10.3,0.0,0.0,6.6,338,99,35.0,100
2022-05-13 09:00:00,11.3,0.0,0.0,8.1,347,97,141.0,100
2022-05-13 10:00:00,12.6,0.0,0.0,12.5,314,90,288.0,100
2022-05-13 11:00:00,13.6,0.0,0.1,14.3,319,85,357.0,100
2022-05-13 12:00:00,13.5,0.0,0.4,11.0,311,87,328.0,67
2022-05-13 13:00:00,14.0,0.0,1.2,10.0,319,82,438.0,49
2022-05-13 14:00:00,13.9,0.0,0.3,7.3,340,82,312.0,48
2022-05-13 15:00:00,13.6,0.0,0.3,6.1,332,83,222.0,41
2022-05-13 16:00:00,13.1,0.0,0.2,5.4,307,87,182.0,52
2022-05-13 17:00:00,11.2,0.0,0.0,2.3,219,95,63.0,65
2022-05-13 18:00:00,10.2,0.0,0.0,1.4,360,97,0.0,100
2022-05-13 19:00:00,10.4,0.0,0.1,3.4,342,95,0.0,100
2022-05-13 20:00:00,10.5,0.0,0.0,3.9,338,96,0.0,78
2022-05-13 21:00:00,9.5,0.0,0.0,5.0,330,97,0.0,100
2022-05-13 22:00:00,8.7,0.0,0.0,7.0,348,97,0.0,100
2022-05-13 23:00:00,8.0,0.0,0.0,6.6,351,100,0.0,73
2022-05-14 00:00:00,8.5,0.0,0.0,8.6,338,100,0.0,21
2022-05-14 01:00:00,8.7,0.0,0.0,9.7,318,100,0.0,41
2022-05-14 02:00:00,9.2,0.0,0.0,12.0,321,100,0.0,100
2022-05-14 03:00:00,9.8,0.0,0.0,14.0,314,100,0.0,100
2022-05-14 04:00:00,10.2,0.0,0.0,15.3,317,100,0.0,100
2022-05-14 05:00:00,10.4,0.0,0.0,15.6,310,100,0.0,100
2022-05-14 06:00:00,10.3,0.0,0.0,14.8,309,100,0.0,100
2022-05-14 07:00:00,10.4,0.0,0.2,14.1,308,100,0.0,100
2022-05-14 08:00:00,10.7,0.0,0.3,13.0,309,100,20.0,100
2022-05-14 09:00:00,10.8,0.0,0.3,11.7,304,100,50.0,100
2022-05-14 10:00:00,11.9,0.0,0.5,11.8,310,100,96.0,100
2022-05-14 11:00:00,11.4,0.0,0.6,16.5,302,100,59.0,100
2022-05-14 12:00:00,11.5,0.0,0.3,20.5,301,100,106.0,100
2022-05-14 13:00:00,11.7,0.0,0.3,20.1,303,100,155.0,100
2022-05-14 14:00:00,11.3,0.0,2.0,18.8,299,100,113.0,100
2022-05-14 15:00:00,11.3,0.0,1.4,15.9,303,100,116.0,100
2022-05-14 16:00:00,10.9,0.0,0.3,12.3,310,100,78.0,100
2022-05-14 17:00:00,10.2,0.0,0.1,11.7,313,100,17.0,100
2022-05-14 18:00:00,9.6,0.0,0.1,10.3,306,100,0.0,100
2022-05-14 19:00:00,9.9,0.0,0.7,10.6,305,100,0.0,100
2022-05-14 20:00:00,9.5,0.0,0.2,12.3,302,100,0.0,100
2022-05-14 21:00:00,8.9,0.0,0.0,16.1,304,98,0.0,100
2022-05-14 22:00:00,9.0,0.0,0.0,12.5,314,97,0.0,100
2022-05-14 23:00:00,9.0,0.0,0.2,15.6,308,100,0.0,100
2022-05-15 00:00:00,9.0,0.0,0.7,16.9,308,98,0.0,99
2022-05-15 01:00:00,8.5,0.0,0.7,17.8,312,94,0.0,100
2022-05-15 02:00:00,8.0,0.0,0.2,16.2,307,94,0.0,100
2022-05-15 03:00:00,7.9,0.0,1.3,19.3,307,100,0.0,100
2022-05-15 04:00:00,7.5,0.0,0.3,20.3,307,98,0.0,100
2022-05-15 05:00:00,6.3,0.0,0.4,18.5,307,100,0.0,100
2022-05-15 06:00:00,5.7,0.0,0.9,18.0,307,100,0.0,99
2022-05-15 07:00:00,6.1,0.0,0.9,15.7,307,96,0.0,100
2022-05-15 08:00:00,6.4,0.0,0.1,14.1,308,95,24.0,98
2022-05-15 09:00:00,6.8,0.0,0.0,13.3,308,90,110.0,100
2022-05-15 10:00:00,7.8,0.0,0.0,18.5,307,91,152.0,100
2022-05-15 11:00:00,8.1,0.0,0.1,15.5,306,94,195.0,100
2022-05-15 12:00:00,7.7,0.0,0.2,17.9,304,97,183.0,100
2022-05-15 13:00:00,7.6,0.0,0.2,22.9,303,96,165.0,100
2022-05-15 14:00:00,7.8,0.0,0.2,24.8,303,97,195.0,100
2022-05-15 15:00:00,7.9,0.0,0.1,26.6,303,98,183.0,100
2022-05-15 16:00:00,7.4,0.0,0.0,24.8,300,99,148.0,100
2022-05-15 17:00:00,6.7,0.0,0.0,25.3,300,100,42.0,100
2022-05-15 18:00:00,6.6,0.0,0.0,28.4,300,100,0.0,100
2022-05-15 19:00:00,6.8,0.0,0.0,28.7,297,100,0.0,100
