time,temperature_2m,snowfall,precipitation,wind_speed_10m,wind_direction_10m,relative_humidity_2m,shortwave_radiation,cloud_cover
2014-06-01 00:00:00,-4.0,0.0,0.0,3.9,68,36,0.0,0
2014-06-01 01:00:00,-3.6,0.0,0.0,4.0,63,35,0.0,0
2014-06-01 02:00:00,-3.5,0.0,0.0,4.0,63,35,0.0,0
2014-06-01 03:00:00,-3.2,0.0,0.0,4.0,63,38,0.0,0
2014-06-01 04:00:00,-3.0,0.0,0.0,4.5,61,38,0.0,4
2014-06-01 05:00:00,-2.8,0.0,0.0,4.8,63,36,0.0,36
2014-06-01 06:00:00,-2.7,0.0,0.0,5.6,63,33,0.0,2
2014-06-01 07:00:00,-2.5,0.0,0.0,4.8,63,27,0.0,0
2014-06-01 08:00:00,-2.1,0.0,0.0,4.8,63,25,7.0,0
2014-06-01 09:00:00,-0.1,0.0,0.0,4.3,66,33,144.0,0
2014-06-01 10:00:00,3.7,0.0,0.0,5.3,62,43,335.0,0
2014-06-01 11:00:00,5.4,0.0,0.0,3.6,45,29,491.0,0
2014-06-01 12:00:00,6.0,0.0,0.0,2.9,30,25,594.0,0
2014-06-01 13:00:00,6.3,0.0,0.0,3.0,14,27,635.0,0
2014-06-01 14:00:00,6.3,0.0,0.0,2.5,352,31,612.0,0
2014-06-01 15:00:00,7.1,0.0,0.0,2.5,360,28,525.0,0
2014-06-01 16:00:00,6.2,0.0,0.0,2.2,9,35,381.0,0
2014-06-01 17:00:00,4.8,0.0,0.0,3.6,53,47,198.0,0
2014-06-01 18:00:00,1.9,0.0,0.0,6.6,68,65,28.0,0
2014-06-01 19:00:00,-0.7,0.0,0.0,6.6,68,62,0.0,0
2014-06-01 20:00:00,-2.1,0.0,0.0,5.2,65,58,0.0,23
2014-06-01 21:00:00,-2.4,0.0,0.0,4.8,63,50,0.0,45
2014-06-01 22:00:00,-2.4,0.0,0.0,4.8,63,44,0.0,1
2014-06-01 23:00:00,-2.4,0.0,0.0,4.5,61,42,0.0,0
2014-06-02 00:00:00,-2.5,0.0,0.0,4.5,61,42,0.0,3
2014-06-02 01:00:00,-2.4,0.0,0.0,5.0,60,43,0.0,42
2014-06-02 02:00:00,-2.4,0.0,0.0,4.5,61,42,0.0,72
2014-06-02 03:00:00,-2.4,0.0,0.0,4.5,61,39,0.0,48
2014-06-02 04:00:00,-2.5,0.0,0.0,4.5,61,38,0.0,48
2014-06-02 05:00:00,-2.6,0.0,0.0,4.8,63,37,0.0,100
2014-06-02 06:00:00,-2.3,0.0,0.0,4.7,67,37,0.0,100
2014-06-02 07:00:00,-2.2,0.0,0.0,4.7,67,39,0.0,99
2014-06-02 08:00:00,-1.8,0.0,0.0,4.7,67,40,5.0,100
2014-06-02 09:00:00,-0.1,0.0,0.0,5.2,65,45,102.0,94
2014-06-02 10:00:00,2.1,0.0,0.0,5.5,67,51,223.0,94
2014-06-02 11:00:00,4.9,0.0,0.0,4.9,54,58,367.0,89
2014-06-02 12:00:00,6.7,0.0,0.0,3.1,21,41,446.0,69
2014-06-02 13:00:00,6.6,0.0,0.0,2.9,7,39,473.0,91
2014-06-02 14:00:00,6.2,0.0,0.0,2.5,352,40,466.0,93
2014-06-02 15:00:00,6.7,0.0,0.0,2.5,360,36,412.0,98
2014-06-02 16:00:00,5.5,0.0,0.0,2.9,30,50,252.0,96
2014-06-02 17:00:00,4.4,0.0,0.0,4.3,48,65,128.0,96
2014-06-02 18:00:00,2.8,0.0,0.0,5.5,58,62,17.0,96
2014-06-02 19:00:00,0.9,0.0,0.0,5.8,60,64,0.0,99
2014-06-02 20:00:00,-0.2,0.0,0.0,4.2,59,65,0.0,99
2014-06-02 21:00:00,-0.5,0.0,0.0,4.2,59,61,0.0,94
2014-06-02 22:00:00,-0.7,0.0,0.0,4.2,59,58,0.0,96
2014-06-02 23:00:00,-1.1,0.0,0.0,4.7,58,56,0.0,92
2014-06-03 00:00:00,-1.3,0.0,0.0,4.7,58,55,0.0,82
2014-06-03 01:00:00,-1.5,0.0,0.0,5.2,56,54,0.0,63
2014-06-03 02:00:00,-1.7,0.0,0.0,5.5,58,55,0.0,33
2014-06-03 03:00:00,-2.1,0.0,0.0,6.0,57,52,0.0,42
2014-06-03 04:00:00,-2.3,0.0,0.0,6.0,57,53,0.0,67
2014-06-03 05:00:00,-2.5,0.0,0.0,5.7,55,54,0.0,62
2014-06-03 06:00:00,-2.5,0.0,0.0,6.7,54,56,0.0,30
2014-06-03 07:00:00,-2.3,0.0,0.0,6.7,54,56,0.0,43
2014-06-03 08:00:00,-2.4,0.0,0.0,6.7,54,58,6.0,36
2014-06-03 09:00:00,-0.8,0.0,0.0,4.9,54,59,129.0,45
2014-06-03 10:00:00,1.2,0.0,0.0,4.9,36,57,279.0,57
2014-06-03 11:00:00,1.8,0.0,0.0,4.8,347,53,376.0,66
2014-06-03 12:00:00,1.5,0.0,0.0,4.8,318,61,443.0,93
2014-06-03 13:00:00,2.1,0.0,0.0,4.6,309,67,536.0,81
2014-06-03 14:00:00,1.8,0.0,0.0,5.9,317,73,411.0,88
2014-06-03 15:00:00,2.1,0.0,0.0,6.2,306,74,383.0,87
2014-06-03 16:00:00,0.9,0.07,0.0,6.9,309,87,169.0,98
2014-06-03 17:00:00,-0.4,0.21,0.5,6.9,313,96,63.0,100
2014-06-03 18:00:00,-0.5,0.56,0.9,5.2,335,98,6.0,100
2014-06-03 19:00:00,-0.8,0.91,1.5,4.0,333,98,0.0,100
2014-06-03 20:00:00,-0.9,1.68,2.6,4.3,318,98,0.0,100
2014-06-03 21:00:00,-1.2,2.45,3.6,5.2,326,98,0.0,100
2014-06-03 22:00:00,-1.8,2.87,4.2,6.5,304,98,0.0,100
2014-06-03 23:00:00,-2.3,3.15,4.5,6.5,289,96,0.0,99
2014-06-04 00:00:00,-2.8,3.29,4.7,7.3,281,97,0.0,100
2014-06-04 01:00:00,-3.1,3.22,4.6,6.9,279,98,0.0,100
2014-06-04 02:00:00,-3.8,2.87,4.1,5.0,291,95,0.0,100
2014-06-04 03:00:00,-3.7,2.38,3.4,5.3,298,95,0.0,99
2014-06-04 04:00:00,-3.8,1.89,2.7,5.2,286,94,0.0,100
2014-06-04 05:00:00,-4.0,1.54,2.2,5.6,285,91,0.0,87
2014-06-04 06:00:00,-4.2,1.12,1.6,4.3,294,89,0.0,73
2014-06-04 07:00:00,-4.6,0.7,1.0,4.4,305,91,0.0,70
2014-06-04 08:00:00,-4.9,0.49,0.7,3.4,342,86,4.0,70
2014-06-04 09:00:00,-4.6,0.21,0.3,3.3,354,80,89.0,73
2014-06-04 10:00:00,-3.6,0.07,0.1,2.9,353,78,254.0,59
2014-06-04 11:00:00,-3.0,0.07,0.0,3.2,333,76,407.0,61
2014-06-04 12:00:00,-2.7,0.07,0.0,3.6,323,76,559.0,62
2014-06-04 13:00:00,-2.9,0.0,0.0,5.1,315,81,552.0,74
2014-06-04 14:00:00,-2.8,0.0,0.0,5.1,309,85,558.0,68
2014-06-04 15:00:00,-3.6,0.21,0.3,4.1,315,91,457.0,84
2014-06-04 16:00:00,-3.6,0.35,0.5,3.2,333,95,309.0,83
2014-06-04 17:00:00,-3.9,0.28,0.5,2.9,353,95,138.0,91
2014-06-04 18:00:00,-4.3,0.14,0.3,3.0,14,97,19.0,97
2014-06-04 19:00:00,-5.0,0.28,0.4,4.1,45,94,0.0,69
2014-06-04 20:00:00,-4.8,0.07,0.0,4.6,51,89,0.0,57
2014-06-04 21:00:00,-5.2,0.0,0.0,5.0,60,84,0.0,42
2014-06-04 22:00:00,-5.8,0.0,0.0,5.0,60,78,0.0,47
2014-06-04 23:00:00,-6.6,0.0,0.0,5.6,63,72,0.0,43
2014-06-05 00:00:00,-7.5,0.0,0.0,6.0,65,67,0.0,41
2014-06-05 01:00:00,-7.8,0.0,0.0,6.0,65,60,0.0,38
2014-06-05 02:00:00,-7.8,0.0,0.0,6.0,65,58,0.0,44
2014-06-05 03:00:00,-7.8,0.0,0.0,6.3,66,53,0.0,34
2014-06-05 04:00:00,-7.6,0.0,0.0,6.3,66,50,0.0,34
2014-06-05 05:00:00,-7.7,0.0,0.0,6.4,63,48,0.0,27
2014-06-05 06:00:00,-7.8,0.0,0.0,7.1,66,46,0.0,27
2014-06-05 07:00:00,-8.2,0.0,0.0,6.8,65,45,0.0,27
2014-06-05 08:00:00,-9.1,0.0,0.0,7.1,66,47,5.0,29
2014-06-05 09:00:00,-9.7,0.0,0.0,7.4,67,49,121.0,32
2014-06-05 10:00:00,-9.6,0.0,0.0,7.0,69,54,303.0,29
2014-06-05 11:00:00,-7.6,0.0,0.0,6.5,71,53,464.0,25
2014-06-05 12:00:00,-5.6,0.0,0.0,5.8,68,45,580.0,23
2014-06-05 13:00:00,-4.7,0.0,0.0,5.4,70,42,633.0,25
2014-06-05 14:00:00,-4.4,0.0,0.0,5.4,70,40,589.0,13
2014-06-05 15:00:00,-4.7,0.0,0.0,5.4,70,40,514.0,5
2014-06-05 16:00:00,-5.1,0.0,0.0,5.8,68,44,371.0,5
2014-06-05 17:00:00,-6.1,0.0,0.0,6.5,71,45,193.0,6
2014-06-05 18:00:00,-7.9,0.0,0.0,7.3,70,45,26.0,5
2014-06-05 19:00:00,-9.9,0.0,0.0,7.8,68,47,0.0,3
2014-06-05 20:00:00,-11.2,0.0,0.0,8.1,69,46,0.0,3
2014-06-05 21:00:00,-12.0,0.0,0.0,8.1,69,44,0.0,6
2014-06-05 22:00:00,-12.6,0.0,0.0,8.6,68,42,0.0,41
2014-06-05 23:00:00,-12.0,0.0,0.0,8.2,67,40,0.0,91
2014-06-06 00:00:00,-10.8,0.0,0.0,7.6,65,36,0.0,94
2014-06-06 01:00:00,-8.9,0.0,0.0,7.2,63,32,0.0,98
2014-06-06 02:00:00,-7.6,0.0,0.0,6.6,61,29,0.0,100
2014-06-06 03:00:00,-7.2,0.0,0.0,6.3,59,26,0.0,100
2014-06-06 04:00:00,-7.1,0.07,0.0,5.8,60,29,0.0,90
2014-06-06 05:00:00,-6.6,0.0,0.0,5.4,53,30,0.0,39
2014-06-06 06:00:00,-6.4,0.0,0.0,5.7,55,33,0.0,47
2014-06-06 07:00:00,-6.5,0.0,0.0,5.4,53,38,0.0,41
2014-06-06 08:00:00,-6.8,0.0,0.0,5.4,48,43,4.0,66
2014-06-06 09:00:00,-6.8,0.0,0.0,4.8,48,47,107.0,87
2014-06-06 10:00:00,-6.5,0.0,0.0,4.3,48,49,293.0,98
2014-06-06 11:00:00,-6.0,0.0,0.0,4.1,45,54,404.0,98
2014-06-06 12:00:00,-4.8,0.0,0.0,3.2,27,56,491.0,98
2014-06-06 13:00:00,-4.2,0.0,0.0,3.1,339,51,531.0,72
2014-06-06 14:00:00,-4.2,0.07,0.0,3.6,323,60,578.0,51
2014-06-06 15:00:00,-5.0,0.07,0.1,4.7,328,67,480.0,64
2014-06-06 16:00:00,-6.7,0.14,0.2,6.4,317,80,283.0,75
2014-06-06 17:00:00,-7.1,0.14,0.2,6.6,319,83,120.0,97
2014-06-06 18:00:00,-7.0,0.28,0.4,5.0,330,89,13.0,100
2014-06-06 19:00:00,-6.8,0.49,0.7,4.8,333,90,0.0,100
2014-06-06 20:00:00,-7.1,1.19,1.7,3.8,319,95,0.0,100
2014-06-06 21:00:00,-7.3,1.96,2.8,4.6,309,94,0.0,100
2014-06-06 22:00:00,-7.1,2.24,3.2,4.1,308,94,0.0,100
2014-06-06 23:00:00,-7.2,2.1,3.0,4.1,308,94,0.0,100
2014-06-07 00:00:00,-7.2,1.54,2.2,4.3,312,93,0.0,100
2014-06-07 01:00:00,-7.4,1.26,1.8,4.3,312,92,0.0,98
2014-06-07 02:00:00,-7.3,1.05,1.5,4.4,305,91,0.0,96
2014-06-07 03:00:00,-7.2,0.84,1.3,4.9,306,91,0.0,100
2014-06-07 04:00:00,-7.3,0.91,1.3,4.6,309,93,0.0,100
2014-06-07 05:00:00,-7.2,0.7,1.0,4.9,306,93,0.0,100
2014-06-07 06:00:00,-7.1,0.77,1.1,4.3,312,91,0.0,100
2014-06-07 07:00:00,-7.1,0.84,1.2,3.9,326,93,0.0,100
2014-06-07 08:00:00,-7.4,0.98,1.4,4.6,321,92,2.0,100
2014-06-07 09:00:00,-7.2,0.84,1.2,4.6,315,91,39.0,100
2014-06-07 10:00:00,-6.8,0.91,1.3,4.6,309,92,115.0,99
2014-06-07 11:00:00,-6.4,0.91,1.3,5.1,309,91,175.0,99
2014-06-07 12:00:00,-6.2,0.77,1.1,5.2,304,95,260.0,100
2014-06-07 13:00:00,-6.0,0.7,1.0,5.0,300,93,254.0,100
2014-06-07 14:00:00,-5.7,0.63,0.9,5.0,300,90,287.0,100
2014-06-07 15:00:00,-5.7,0.77,1.1,4.2,301,89,230.0,99
2014-06-07 16:00:00,-5.7,0.77,1.1,4.2,301,90,144.0,96
2014-06-07 17:00:00,-6.4,0.7,1.0,3.9,304,93,111.0,84
2014-06-07 18:00:00,-6.2,0.49,0.7,2.2,360,90,16.0,96
2014-06-07 19:00:00,-6.1,0.42,0.6,2.6,34,87,0.0,72
2014-06-07 20:00:00,-6.0,0.21,0.3,2.8,50,81,0.0,54
2014-06-07 21:00:00,-6.2,0.07,0.0,3.9,56,77,0.0,51
2014-06-07 22:00:00,-6.8,0.0,0.0,5.0,60,72,0.0,48
2014-06-07 23:00:00,-7.1,0.0,0.0,5.4,53,67,0.0,44
2014-06-08 00:00:00,-8.2,0.0,0.0,6.0,57,65,0.0,56
2014-06-08 01:00:00,-9.6,0.0,0.0,6.8,58,64,0.0,91
2014-06-08 02:00:00,-9.2,0.0,0.0,6.2,54,59,0.0,98
2014-06-08 03:00:00,-9.3,0.07,0.0,5.7,55,57,0.0,98
2014-06-08 04:00:00,-8.6,0.14,0.2,5.6,50,57,0.0,100
2014-06-08 05:00:00,-7.4,0.14,0.2,4.6,45,54,0.0,99
2014-06-08 06:00:00,-6.0,0.28,0.4,3.9,22,51,0.0,100
2014-06-08 07:00:00,-4.9,0.49,0.7,3.6,6,52,0.0,100
2014-06-08 08:00:00,-4.4,0.7,1.0,3.7,11,57,2.0,100
2014-06-08 09:00:00,-4.0,0.98,1.4,3.6,6,62,38.0,100
2014-06-08 10:00:00,-3.7,1.26,1.8,3.6,354,67,84.0,100
2014-06-08 11:00:00,-3.4,1.4,2.0,3.7,349,70,167.0,100
2014-06-08 12:00:00,-3.3,1.47,2.1,3.5,336,76,185.0,100
2014-06-08 13:00:00,-2.8,1.47,2.1,3.5,336,78,201.0,100
2014-06-08 14:00:00,-2.3,1.33,1.9,3.6,323,79,201.0,100
2014-06-08 15:00:00,-2.5,1.47,2.1,2.5,352,85,171.0,99
2014-06-08 16:00:00,-2.2,1.33,1.9,2.2,9,87,121.0,100
2014-06-08 17:00:00,-1.8,0.98,1.4,1.9,22,86,61.0,99
2014-06-08 18:00:00,-1.3,0.56,0.8,2.6,34,81,10.0,93
2014-06-08 19:00:00,-1.1,0.21,0.3,3.1,36,78,0.0,96
2014-06-08 20:00:00,-1.4,0.07,0.1,3.6,45,75,0.0,85
2014-06-08 21:00:00,-2.0,0.07,0.0,4.4,55,74,0.0,68
2014-06-08 22:00:00,-3.2,0.0,0.0,5.6,63,72,0.0,46
2014-06-08 23:00:00,-4.4,0.0,0.0,6.6,68,71,0.0,42
2014-06-09 00:00:00,-5.5,0.0,0.0,7.3,70,70,0.0,50
2014-06-09 01:00:00,-6.5,0.0,0.0,8.1,69,70,0.0,52
2014-06-09 02:00:00,-7.8,0.0,0.0,8.8,71,73,0.0,54
2014-06-09 03:00:00,-7.5,0.0,0.0,9.4,72,71,0.0,55
2014-06-09 04:00:00,-8.1,0.0,0.0,9.4,72,72,0.0,54
2014-06-09 05:00:00,-8.1,0.0,0.0,9.9,71,68,0.0,33
2014-06-09 06:00:00,-7.4,0.0,0.0,9.1,72,61,0.0,40
2014-06-09 07:00:00,-6.9,0.0,0.0,8.8,71,55,0.0,18
2014-06-09 08:00:00,-6.2,0.0,0.0,9.1,72,52,4.0,4
2014-06-09 09:00:00,-5.1,0.0,0.0,9.1,72,47,117.0,4
2014-06-09 10:00:00,-3.7,0.0,0.0,9.1,72,45,302.0,10
2014-06-09 11:00:00,-1.9,0.0,0.0,8.3,72,43,470.0,6
2014-06-09 12:00:00,-0.4,0.0,0.0,7.9,74,42,577.0,11
2014-06-09 13:00:00,0.4,0.0,0.0,7.5,73,43,625.0,18
2014-06-09 14:00:00,0.5,0.0,0.0,7.2,72,44,600.0,14
2014-06-09 15:00:00,0.3,0.0,0.0,7.5,73,42,514.0,30
2014-06-09 16:00:00,-0.9,0.0,0.0,8.0,72,42,367.0,27
2014-06-09 17:00:00,-2.2,0.0,0.0,8.4,70,39,184.0,5
2014-06-09 18:00:00,-2.8,0.0,0.0,8.8,71,35,24.0,0
2014-06-09 19:00:00,-1.9,0.0,0.0,8.6,68,31,0.0,0
2014-06-09 20:00:00,-0.3,0.0,0.0,8.2,67,27,0.0,0
2014-06-09 21:00:00,0.3,0.0,0.0,7.9,66,25,0.0,0
2014-06-09 22:00:00,0.0,0.0,0.0,7.9,66,25,0.0,0
2014-06-09 23:00:00,-0.6,0.0,0.0,8.2,67,27,0.0,13
2014-06-10 00:00:00,-0.5,0.0,0.0,7.9,66,27,0.0,39
2014-06-10 01:00:00,-0.1,0.0,0.0,7.6,65,26,0.0,59
2014-06-10 02:00:00,1.6,0.0,0.0,6.9,62,23,0.0,7
2014-06-10 03:00:00,2.1,0.0,0.0,7.2,63,21,0.0,10
2014-06-10 04:00:00,1.6,0.0,0.0,7.6,65,22,0.0,45
2014-06-10 05:00:00,2.2,0.0,0.0,7.2,63,21,0.0,43
2014-06-10 06:00:00,2.8,0.0,0.0,6.8,58,20,0.0,53
2014-06-10 07:00:00,2.9,0.0,0.0,6.3,59,19,0.0,32
2014-06-10 08:00:00,2.8,0.0,0.0,6.5,56,19,3.0,0
2014-06-10 09:00:00,2.6,0.0,0.0,6.0,57,19,119.0,0
2014-06-10 10:00:00,2.4,0.0,0.0,6.0,57,20,311.0,0
2014-06-10 11:00:00,2.2,0.0,0.0,5.8,60,23,470.0,0
2014-06-10 12:00:00,2.7,0.0,0.0,5.5,58,28,578.0,1
2014-06-10 13:00:00,3.2,0.0,0.0,5.0,60,30,625.0,0
2014-06-10 14:00:00,3.5,0.0,0.0,4.4,55,31,602.0,1
2014-06-10 15:00:00,3.0,0.0,0.0,4.4,55,32,516.0,11
2014-06-10 16:00:00,2.5,0.0,0.0,4.7,58,31,367.0,15
2014-06-10 17:00:00,1.9,0.0,0.0,5.2,56,30,179.0,28
2014-06-10 18:00:00,1.2,0.0,0.0,5.8,60,28,22.0,46
2014-06-10 19:00:00,0.9,0.0,0.0,6.3,59,26,0.0,51
2014-06-10 20:00:00,1.2,0.0,0.0,6.6,61,25,0.0,96
2014-06-10 21:00:00,1.8,0.0,0.0,5.7,55,24,0.0,99
2014-06-10 22:00:00,2.1,0.0,0.0,5.7,55,24,0.0,99
2014-06-10 23:00:00,2.0,0.0,0.0,6.3,59,26,0.0,98
2014-06-11 00:00:00,1.8,0.0,0.0,6.0,57,28,0.0,100
2014-06-11 01:00:00,1.4,0.0,0.0,5.2,56,30,0.0,100
2014-06-11 02:00:00,0.9,0.07,0.0,5.4,53,33,0.0,100
2014-06-11 03:00:00,1.3,0.07,0.1,5.1,51,31,0.0,100
2014-06-11 04:00:00,0.7,0.14,0.2,5.4,53,36,0.0,100
2014-06-11 05:00:00,0.0,0.14,0.2,5.4,53,41,0.0,100
2014-06-11 06:00:00,0.5,0.14,0.2,5.4,53,42,0.0,100
2014-06-11 07:00:00,0.5,0.14,0.2,5.1,51,44,0.0,100
2014-06-11 08:00:00,-0.2,0.14,0.2,5.4,53,49,2.0,100
2014-06-11 09:00:00,-0.7,0.21,0.3,5.7,55,53,58.0,100
2014-06-11 10:00:00,-0.6,0.21,0.3,5.7,55,56,176.0,100
2014-06-11 11:00:00,-1.1,0.35,0.5,5.2,56,62,265.0,100
2014-06-11 12:00:00,-1.0,0.42,0.6,4.9,54,66,331.0,100
2014-06-11 13:00:00,-0.1,0.35,0.5,4.3,42,64,376.0,100
2014-06-11 14:00:00,0.5,0.42,0.6,3.8,17,63,377.0,100
2014-06-11 15:00:00,-0.3,0.56,0.8,3.2,360,65,249.0,100
2014-06-11 16:00:00,-1.3,0.63,0.9,3.7,11,74,172.0,100
2014-06-11 17:00:00,-1.9,0.7,1.0,3.7,29,77,76.0,100
2014-06-11 18:00:00,-2.8,0.77,1.1,3.7,61,82,10.0,100
2014-06-11 19:00:00,-3.4,0.91,1.3,3.9,56,85,0.0,100
2014-06-11 20:00:00,-3.9,1.19,1.7,4.1,45,87,0.0,100
2014-06-11 21:00:00,-4.1,1.26,1.8,4.4,55,88,0.0,100
2014-06-11 22:00:00,-4.4,1.33,1.9,4.2,59,91,0.0,100
2014-06-11 23:00:00,-4.4,1.33,1.9,4.2,59,93,0.0,100
2014-06-12 00:00:00,-4.7,1.33,1.9,4.4,55,94,0.0,100
2014-06-12 01:00:00,-4.4,1.47,2.1,4.1,52,93,0.0,100
2014-06-12 02:00:00,-4.2,1.47,2.1,3.6,45,96,0.0,100
2014-06-12 03:00:00,-4.2,1.19,1.7,3.1,21,94,0.0,100
2014-06-12 04:00:00,-4.7,1.68,2.4,2.5,360,95,0.0,100
2014-06-12 05:00:00,-4.7,1.82,2.6,2.5,352,93,0.0,100
2014-06-12 06:00:00,-5.0,1.47,2.1,2.9,353,93,0.0,100
2014-06-12 07:00:00,-5.1,1.12,1.6,3.3,347,92,0.0,100
2014-06-12 08:00:00,-5.4,0.98,1.4,3.3,354,92,2.0,97
2014-06-12 09:00:00,-5.6,0.63,0.9,2.9,7,92,62.0,100
2014-06-12 10:00:00,-5.3,0.63,0.9,2.9,360,91,153.0,100
2014-06-12 11:00:00,-4.8,0.63,0.9,3.1,339,90,300.0,100
2014-06-12 12:00:00,-4.8,0.56,0.8,3.8,319,89,368.0,99
2014-06-12 13:00:00,-5.1,0.63,0.9,4.6,309,92,346.0,100
2014-06-12 14:00:00,-5.3,0.56,0.8,4.9,306,93,416.0,86
2014-06-12 15:00:00,-5.4,0.56,0.8,4.6,309,89,337.0,82
2014-06-12 16:00:00,-5.3,0.28,0.4,4.1,308,87,278.0,72
2014-06-12 17:00:00,-5.6,0.28,0.4,2.6,326,84,130.0,70
2014-06-12 18:00:00,-5.7,0.07,0.1,2.5,8,82,19.0,64
2014-06-12 19:00:00,-6.1,0.07,0.0,3.6,45,80,0.0,56
2014-06-12 20:00:00,-6.7,0.0,0.0,5.0,60,76,0.0,47
2014-06-12 21:00:00,-7.6,0.0,0.0,5.6,63,72,0.0,34
2014-06-12 22:00:00,-8.8,0.0,0.0,6.3,66,66,0.0,25
2014-06-12 23:00:00,-9.8,0.0,0.0,6.6,68,62,0.0,63
2014-06-13 00:00:00,-10.6,0.0,0.0,7.4,67,58,0.0,89
2014-06-13 01:00:00,-10.8,0.0,0.0,8.2,67,54,0.0,99
2014-06-13 02:00:00,-10.4,0.0,0.0,8.2,67,59,0.0,96
2014-06-13 03:00:00,-10.7,0.0,0.0,7.9,66,66,0.0,80
2014-06-13 04:00:00,-10.2,0.0,0.0,7.2,63,54,0.0,73
2014-06-13 05:00:00,-8.5,0.0,0.0,6.6,61,42,0.0,49
2014-06-13 06:00:00,-7.9,0.0,0.0,6.1,62,36,0.0,19
2014-06-13 07:00:00,-7.7,0.0,0.0,6.6,61,34,0.0,18
2014-06-13 08:00:00,-7.6,0.0,0.0,6.9,62,33,3.0,11
2014-06-13 09:00:00,-7.5,0.0,0.0,6.9,62,35,119.0,6
2014-06-13 10:00:00,-6.7,0.0,0.0,7.1,66,39,312.0,2
2014-06-13 11:00:00,-5.5,0.0,0.0,7.1,66,42,477.0,3
2014-06-13 12:00:00,-3.4,0.0,0.0,6.6,68,41,585.0,1
2014-06-13 13:00:00,-2.7,0.0,0.0,6.3,66,43,631.0,0
2014-06-13 14:00:00,-3.5,0.0,0.0,6.5,71,48,607.0,4
2014-06-13 15:00:00,-4.2,0.0,0.0,7.3,70,49,523.0,100
2014-06-13 16:00:00,-5.0,0.0,0.0,7.4,67,49,354.0,100
2014-06-13 17:00:00,-6.6,0.0,0.0,8.6,68,50,147.0,100
2014-06-13 18:00:00,-7.5,0.0,0.0,8.4,70,50,18.0,100
2014-06-13 19:00:00,-7.7,0.0,0.0,8.9,69,48,0.0,100
2014-06-13 20:00:00,-7.4,0.0,0.0,8.7,66,47,0.0,100
2014-06-13 21:00:00,-6.7,0.0,0.0,8.6,68,47,0.0,81
2014-06-13 22:00:00,-6.4,0.0,0.0,7.9,66,44,0.0,71
2014-06-13 23:00:00,-5.4,0.0,0.0,7.6,65,41,0.0,76
2014-06-14 00:00:00,-3.6,0.0,0.0,7.2,63,34,0.0,59
2014-06-14 01:00:00,-2.4,0.0,0.0,6.3,59,30,0.0,55
2014-06-14 02:00:00,-2.6,0.0,0.0,6.3,59,33,0.0,54
2014-06-14 03:00:00,0.1,0.0,0.0,6.1,62,24,0.0,54
2014-06-14 04:00:00,0.2,0.0,0.0,6.8,65,24,0.0,49
2014-06-14 05:00:00,-0.2,0.0,0.0,7.2,63,25,0.0,88
2014-06-14 06:00:00,-0.7,0.0,0.0,7.1,66,26,0.0,95
2014-06-14 07:00:00,-1.3,0.0,0.0,7.6,65,28,0.0,97
2014-06-14 08:00:00,-2.2,0.0,0.0,8.2,67,31,2.0,96
2014-06-14 09:00:00,-2.1,0.0,0.0,8.2,67,32,93.0,90
2014-06-14 10:00:00,-1.8,0.0,0.0,8.1,69,34,255.0,92
2014-06-14 11:00:00,-0.7,0.0,0.0,7.6,71,37,416.0,96
2014-06-14 12:00:00,-0.4,0.0,0.0,7.3,70,43,516.0,98
2014-06-14 13:00:00,-0.2,0.0,0.0,7.2,72,48,537.0,99
2014-06-14 14:00:00,0.1,0.0,0.0,7.2,72,50,523.0,99
2014-06-14 15:00:00,-0.4,0.0,0.0,7.3,70,49,410.0,92
2014-06-14 16:00:00,-0.7,0.0,0.0,7.6,71,49,282.0,73
2014-06-14 17:00:00,-1.8,0.0,0.0,8.1,69,47,169.0,30
2014-06-14 18:00:00,-2.9,0.0,0.0,8.6,68,44,23.0,7
2014-06-14 19:00:00,-2.6,0.0,0.0,8.6,68,40,0.0,12
2014-06-14 20:00:00,-2.0,0.0,0.0,8.6,68,37,0.0,13
2014-06-14 21:00:00,-2.4,0.0,0.0,8.2,67,38,0.0,8
2014-06-14 22:00:00,-2.8,0.0,0.0,8.2,67,39,0.0,6
2014-06-14 23:00:00,-2.9,0.0,0.0,7.9,66,40,0.0,16
2014-06-15 00:00:00,-2.5,0.0,0.0,7.2,63,38,0.0,43
2014-06-15 01:00:00,-2.0,0.0,0.0,7.2,63,37,0.0,47
2014-06-15 02:00:00,-2.1,0.0,0.0,7.2,63,37,0.0,55
2014-06-15 03:00:00,0.2,0.0,0.0,7.2,63,31,0.0,62
2014-06-15 04:00:00,0.2,0.0,0.0,7.4,61,32,0.0,76
2014-06-15 05:00:00,0.4,0.0,0.0,7.4,61,33,0.0,88
2014-06-15 06:00:00,1.7,0.0,0.0,7.4,61,31,0.0,90
2014-06-15 07:00:00,2.0,0.0,0.0,7.6,65,32,0.0,85
2014-06-15 08:00:00,2.1,0.0,0.0,7.4,61,33,2.0,91
2014-06-15 09:00:00,2.5,0.0,0.0,6.9,62,33,96.0,83
2014-06-15 10:00:00,2.7,0.0,0.0,6.4,63,34,270.0,63
2014-06-15 11:00:00,3.4,0.0,0.0,6.3,59,36,421.0,54
2014-06-15 12:00:00,4.3,0.0,0.0,5.3,62,38,528.0,12
2014-06-15 13:00:00,5.0,0.0,0.0,5.0,60,38,595.0,7
